
2024/03/17 (00:32:41) | ===> btop++ v.1.3.2
2024/03/17 (00:32:41) | INFO: Logger set to INFO
2024/03/17 (00:32:41) | INFO: Running on /dev/pts/4
2024/03/17 (00:32:41) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/17 (00:32:41) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/17 (00:38:25) | ===> btop++ v.1.3.2
2024/03/17 (00:38:25) | INFO: Logger set to INFO
2024/03/17 (00:38:25) | INFO: Running on /dev/pts/4
2024/03/17 (00:38:25) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/17 (00:38:25) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/17 (09:33:39) | ===> btop++ v.1.3.2
2024/03/17 (09:33:39) | INFO: Logger set to INFO
